model,cohort,seed,epoch,loss,seconds,evaluated,valid_coverage@10,valid_coverage@20,valid_hit_rate@10,valid_hit_rate@20,valid_ndcg@10,valid_ndcg@20,valid_recall@10,valid_recall@20,note
bt_dkgrec_l05,active,2022,1,0.6904043951015432,1.7,False,,,,,,,,,
bt_dkgrec_l05,active,2022,2,0.6861953227745173,3.1,False,,,,,,,,,
bt_dkgrec_l05,active,2022,3,0.6783963244465233,4.5,False,,,,,,,,,
bt_dkgrec_l05,active,2022,4,0.6640605537714037,5.9,False,,,,,,,,,
bt_dkgrec_l05,active,2022,5,0.6413300301809686,7.3,True,0.0036810948660843073,0.00708524215603688,0.029914529914529916,0.042735042735042736,0.011374953507519792,0.01196801607815971,0.016679957469431152,0.021720500971513117,best
bt_dkgrec_l05,active,2022,6,0.6107993204810086,9.2,False,,,,,,,,,
bt_dkgrec_l05,active,2022,7,0.5749713800505758,10.6,False,,,,,,,,,
bt_dkgrec_l05,active,2022,8,0.5369023147751442,12.1,False,,,,,,,,,
bt_dkgrec_l05,active,2022,9,0.4989925997556804,13.5,False,,,,,,,,,
bt_dkgrec_l05,active,2022,10,0.46307539974778533,14.9,True,0.003323370913580817,0.006346715286352255,0.03418803418803419,0.05128205128205128,0.010302000263486323,0.011869639658486949,0.020096294219101238,0.027261968051441737,khong cai thien (1/20)
bt_dkgrec_l05,active,2022,11,0.42855834393327463,16.6,False,,,,,,,,,
bt_dkgrec_l05,active,2022,12,0.3973043807628763,18.0,False,,,,,,,,,
bt_dkgrec_l05,active,2022,13,0.36795098347483185,19.5,False,,,,,,,,,
bt_dkgrec_l05,active,2022,14,0.34262637400162926,20.9,False,,,,,,,,,
bt_dkgrec_l05,active,2022,15,0.31802429860831366,22.3,True,0.003877266065844286,0.007258334391119214,0.03418803418803419,0.05982905982905983,0.010913010639460515,0.012628026738716241,0.020096294219101238,0.026797026614278074,best
bt_dkgrec_l05,active,2022,16,0.29611705674400274,24.2,False,,,,,,,,,
bt_dkgrec_l05,active,2022,17,0.2758992234914474,25.6,False,,,,,,,,,
bt_dkgrec_l05,active,2022,18,0.2574177869714005,27.0,False,,,,,,,,,
bt_dkgrec_l05,active,2022,19,0.2399720591264079,28.5,False,,,,,,,,,
