epoch,loss,valid_ndcg@20,note
5,0.0947267881066903,0.01965398522900289,best
10,0.02982879658988862,0.02257571877634929,best
15,0.01679137599813182,0.022304322056354478,khong cai thien (1/20)
20,0.011562333633830685,0.022843626762085966,best
25,0.008968097979535126,0.024386784933987656,best
30,0.007290475794825059,0.024323875057862158,khong cai thien (1/20)
35,0.006373592007971682,0.02389196189343148,khong cai thien (2/20)
40,0.005583739732292522,0.02456097543636726,best
45,0.005158978918940025,0.024168350466047178,khong cai thien (1/20)
50,0.00471678160253879,0.02433113630936068,khong cai thien (2/20)
55,0.004516746165534928,0.024210531188594665,khong cai thien (3/20)
60,0.004230777873105959,0.0237585510614199,khong cai thien (4/20)
65,0.003935198595496605,0.024758673780430254,best
70,0.0038258291484537833,0.025627843093901793,best
75,0.0037046760224024463,0.02442055969591983,khong cai thien (1/20)
80,0.0034855760128824475,0.025205942376442872,khong cai thien (2/20)
85,0.00335554079365641,0.02519137520552999,khong cai thien (3/20)
90,0.003248917034805155,0.02552664442228247,khong cai thien (4/20)
95,0.003216493840623578,0.02555970688901408,khong cai thien (5/20)
100,0.0031184196724092423,0.024370321509013426,khong cai thien (6/20)
105,0.0030066998042934,0.024863356331043186,khong cai thien (7/20)
110,0.002971281829207784,0.025414078970548568,khong cai thien (8/20)
115,0.002952995070173553,0.024178531430873857,khong cai thien (9/20)
120,0.0028958735048630513,0.023577520719445414,khong cai thien (10/20)
125,0.002819247749636822,0.023883284973295085,khong cai thien (11/20)
130,0.002739833786873331,0.02311253849334319,khong cai thien (12/20)
135,0.0026486235616335905,0.022951674800536972,khong cai thien (13/20)
140,0.0026778878413510495,0.023899044369555155,khong cai thien (14/20)
145,0.002631756899448908,0.024289010693324162,khong cai thien (15/20)
150,0.002584752835688364,0.024473736648523245,khong cai thien (16/20)
155,0.0025042846091960645,0.02502118868062489,khong cai thien (17/20)
160,0.002523742671667195,0.024257554211633205,khong cai thien (18/20)
165,0.00243905910751874,0.02446806178713552,khong cai thien (19/20)
170,0.0024458360085213124,0.023321182518269284,khong cai thien (20/20)
