model,cohort,seed,epoch,loss,seconds,evaluated,valid_coverage@10,valid_coverage@20,valid_hit_rate@10,valid_hit_rate@20,valid_ndcg@10,valid_ndcg@20,valid_recall@10,valid_recall@20,note
lightgcn,original,2020,1,0.6251559928696033,11.2,False,,,,,,,,,
lightgcn,original,2020,2,0.44099972285799205,21.9,False,,,,,,,,,
lightgcn,original,2020,3,0.24768941408335574,32.7,False,,,,,,,,,
lightgcn,original,2020,4,0.14376486364580174,43.5,False,,,,,,,,,
lightgcn,original,2020,5,0.09472678811833771,54.4,True,0.00557760377560871,0.009877819273936404,0.041666666666666664,0.057971014492753624,0.01610074961250894,0.01965398522900289,0.028616880089992216,0.04276456815072376,best
lightgcn,original,2020,6,0.06800779509619904,67.3,False,,,,,,,,,
lightgcn,original,2020,7,0.05266883000472996,78.4,False,,,,,,,,,
lightgcn,original,2020,8,0.042459956174839046,89.4,False,,,,,,,,,
lightgcn,original,2020,9,0.03524330734529698,100.3,False,,,,,,,,,
lightgcn,original,2020,10,0.029828796512157075,111.3,True,0.007089017386132049,0.012656870106188996,0.05253623188405797,0.06884057971014493,0.01917535905626534,0.02257571877634929,0.0378915145791576,0.04932221262789531,best
lightgcn,original,2020,11,0.02578618582201232,124.0,False,,,,,,,,,
lightgcn,original,2020,12,0.022740942730283247,134.9,False,,,,,,,,,
lightgcn,original,2020,13,0.020088399228025827,145.9,False,,,,,,,,,
lightgcn,original,2020,14,0.01826610532000408,156.8,False,,,,,,,,,
lightgcn,original,2020,15,0.01679137595926605,167.8,True,0.007951985802463117,0.01404151999453941,0.050724637681159424,0.06884057971014493,0.019150704110198723,0.022304322056354478,0.03817514801496495,0.04901702979267815,khong cai thien (1/20)
lightgcn,original,2020,16,0.01526362260946574,180.6,False,,,,,,,,,
lightgcn,original,2020,17,0.013835827093167573,191.5,False,,,,,,,,,
lightgcn,original,2020,18,0.01295118322751041,202.5,False,,,,,,,,,
lightgcn,original,2020,19,0.012241940367184415,213.4,False,,,,,,,,,
lightgcn,original,2020,20,0.011562333556099143,224.4,True,0.008459040691154817,0.014782600216473433,0.04891304347826087,0.07065217391304347,0.019365726577485014,0.022843626762085966,0.036566166321601104,0.04789868819593267,best
lightgcn,original,2020,21,0.010814500885372755,237.1,False,,,,,,,,,
lightgcn,original,2020,22,0.010296016807787349,248.1,False,,,,,,,,,
lightgcn,original,2020,23,0.009700651747965737,259.0,False,,,,,,,,,
lightgcn,original,2020,24,0.009153199723956645,270.0,False,,,,,,,,,
lightgcn,original,2020,25,0.00896809790034766,280.9,True,0.00880520316324242,0.015294530632941016,0.05434782608695652,0.07608695652173914,0.0201092544282671,0.024386784933987656,0.039089458247066944,0.05508432539682539,best
lightgcn,original,2020,26,0.008496153848137468,293.7,False,,,,,,,,,
lightgcn,original,2020,27,0.008136208740265407,304.6,False,,,,,,,,,
lightgcn,original,2020,28,0.00783392169042623,315.6,False,,,,,,,,,
lightgcn,original,2020,29,0.007630737494418522,326.5,False,,,,,,,,,
lightgcn,original,2020,30,0.007290475717093518,337.5,True,0.008927091357639465,0.01581133657718448,0.05615942028985507,0.08152173913043478,0.019508141891576233,0.024323875057862158,0.038636559696342304,0.05628366785522582,khong cai thien (1/20)
lightgcn,original,2020,31,0.007084660787509121,350.4,False,,,,,,,,,
lightgcn,original,2020,32,0.0068659796571264595,361.3,False,,,,,,,,,
lightgcn,original,2020,33,0.0068082821988635755,372.3,False,,,,,,,,,
lightgcn,original,2020,34,0.006535573047251234,383.2,False,,,,,,,,,
lightgcn,original,2020,35,0.006373592007971682,394.2,True,0.009156241163105906,0.016386648854738527,0.057971014492753624,0.07608695652173914,0.02011576457797946,0.02389196189343148,0.040448153899240856,0.05417852829537612,khong cai thien (2/20)
lightgcn,original,2020,36,0.006179607658269593,407.1,False,,,,,,,,,
lightgcn,original,2020,37,0.005993789119470793,418.0,False,,,,,,,,,
lightgcn,original,2020,38,0.0059935978692628455,429.0,False,,,,,,,,,
lightgcn,original,2020,39,0.005876566940169102,439.9,False,,,,,,,,,
lightgcn,original,2020,40,0.005583739615695209,450.9,True,0.009297631468606477,0.016620674187980848,0.059782608695652176,0.07971014492753623,0.021122679186459988,0.02456097543636726,0.04361844375431332,0.0560133480649785,best
lightgcn,original,2020,41,0.005548350058569591,463.7,False,,,,,,,,,
lightgcn,original,2020,42,0.0056719830200070275,474.7,False,,,,,,,,,
lightgcn,original,2020,43,0.005347562841205852,485.6,False,,,,,,,,,
lightgcn,original,2020,44,0.005226690326849925,496.5,False,,,,,,,,,
lightgcn,original,2020,45,0.005158978996671566,507.5,True,0.009546283385176445,0.01679131766013671,0.06159420289855073,0.07971014492753623,0.021015397474550147,0.024168350466047178,0.04407134230503796,0.0552545242881818,khong cai thien (1/20)
lightgcn,original,2020,46,0.004986321527985585,520.5,False,,,,,,,,,
lightgcn,original,2020,47,0.004978274912518917,531.5,False,,,,,,,,,
lightgcn,original,2020,48,0.005063222131690922,542.5,False,,,,,,,,,
lightgcn,original,2020,49,0.004990631643647779,553.4,False,,,,,,,,,
lightgcn,original,2020,50,0.004716781621243713,564.3,True,0.009746180023987597,0.017098475910017258,0.06159420289855073,0.07971014492753623,0.020923081206407096,0.02433113630936068,0.04407134230503796,0.056234690123420104,khong cai thien (2/20)
lightgcn,original,2020,51,0.004664810818383939,577.4,False,,,,,,,,,
lightgcn,original,2020,52,0.004656054306191896,588.3,False,,,,,,,,,
lightgcn,original,2020,53,0.004475263237268156,599.2,False,,,,,,,,,
lightgcn,original,2020,54,0.004435807176454775,610.2,False,,,,,,,,,
lightgcn,original,2020,55,0.004516746173795446,621.1,True,0.010048462746092264,0.01771279240977836,0.059782608695652176,0.07971014492753623,0.020496430261324725,0.024210531188594665,0.04225974810213941,0.05482452872684566,khong cai thien (3/20)
lightgcn,original,2020,56,0.004298249452929869,634.2,False,,,,,,,,,
lightgcn,original,2020,57,0.004310748059173014,645.2,False,,,,,,,,,
lightgcn,original,2020,58,0.004353568544492032,656.2,False,,,,,,,,,
lightgcn,original,2020,59,0.004293726528442736,667.1,False,,,,,,,,,
lightgcn,original,2020,60,0.004230777863389516,678.0,True,0.0101459733016099,0.017707916882002475,0.05253623188405797,0.07789855072463768,0.018217946135672115,0.0237585510614199,0.0350133712905452,0.05485769553990378,khong cai thien (4/20)
lightgcn,original,2020,61,0.004068005522446177,691.1,False,,,,,,,,,
lightgcn,original,2020,62,0.003968944235657836,702.1,False,,,,,,,,,
lightgcn,original,2020,63,0.004046589667933139,713.0,False,,,,,,,,,
lightgcn,original,2020,64,0.003942467033048345,723.9,False,,,,,,,,,
lightgcn,original,2020,65,0.0039351984886157355,734.9,True,0.01020447963492048,0.01805895488186596,0.05434782608695652,0.08152173913043478,0.018352292746119665,0.024758673780430254,0.03459803370415498,0.05848088394570088,best
lightgcn,original,2020,66,0.0039147819492110075,747.6,False,,,,,,,,,
lightgcn,original,2020,67,0.004003769758271542,758.5,False,,,,,,,,,
lightgcn,original,2020,68,0.003812412389583352,769.4,False,,,,,,,,,
lightgcn,original,2020,69,0.003781847184372093,780.4,False,,,,,,,,,
lightgcn,original,2020,70,0.0038258290908830895,791.3,True,0.01037512310707634,0.01827347810400476,0.06340579710144928,0.08152173913043478,0.020922873504636473,0.025627843093901793,0.04108957959787479,0.05864557432778256,best
lightgcn,original,2020,71,0.003728842475972822,804.1,False,,,,,,,,,
lightgcn,original,2020,72,0.0036833013014550384,815.0,False,,,,,,,,,
lightgcn,original,2020,73,0.0037457025693891535,825.9,False,,,,,,,,,
lightgcn,original,2020,74,0.0037610858731820813,836.9,False,,,,,,,,,
lightgcn,original,2020,75,0.003704676061632198,847.8,True,0.010467758134818095,0.018492876853919437,0.05434782608695652,0.07608695652173914,0.019458044397243898,0.02442055969591983,0.03698965587552544,0.05456948737126082,khong cai thien (1/20)
lightgcn,original,2020,76,0.003522415421223599,860.5,False,,,,,,,,,
lightgcn,original,2020,77,0.003642076109655784,871.4,False,,,,,,,,,
lightgcn,original,2020,78,0.0035224874307227894,882.4,False,,,,,,,,,
lightgcn,original,2020,79,0.003596030161446437,893.3,False,,,,,,,,,
lightgcn,original,2020,80,0.003485575896285135,904.2,True,0.01057014421811161,0.018731777714937642,0.05615942028985507,0.07789855072463768,0.02052431300129806,0.025205942376442872,0.03789545297697471,0.05487141973841057,khong cai thien (2/20)
lightgcn,original,2020,81,0.003525256157328996,917.1,False,,,,,,,,,
lightgcn,original,2020,82,0.0034517977044734452,928.0,False,,,,,,,,,
lightgcn,original,2020,83,0.003428570697271539,939.0,False,,,,,,,,,
