model,cohort,seed,epoch,loss,seconds,evaluated,valid_coverage@10,valid_coverage@20,valid_hit_rate@10,valid_hit_rate@20,valid_ndcg@10,valid_ndcg@20,valid_recall@10,valid_recall@20,note
lightgcn,original,2021,1,0.6251799626451648,11.2,False,,,,,,,,,
lightgcn,original,2021,2,0.44114288696264814,22.3,False,,,,,,,,,
lightgcn,original,2021,3,0.24746930539394849,33.4,False,,,,,,,,,
lightgcn,original,2021,4,0.1431601144440801,44.4,False,,,,,,,,,
lightgcn,original,2021,5,0.09442458179640566,55.4,True,0.00541183583122873,0.009424395190779401,0.04528985507246377,0.06159420289855073,0.018526875199156714,0.02156406961268819,0.03300441004245352,0.04435009937727329,best
lightgcn,original,2021,6,0.06810476210784636,68.7,False,,,,,,,,,
lightgcn,original,2021,7,0.052704632957319746,79.6,False,,,,,,,,,
lightgcn,original,2021,8,0.04221211910010357,90.5,False,,,,,,,,,
lightgcn,original,2021,9,0.03471178963328807,101.5,False,,,,,,,,,
lightgcn,original,2021,10,0.02988118320924271,112.5,True,0.0069476270806314785,0.012242450245239046,0.050724637681159424,0.07789855072463768,0.020373671232965195,0.025742126020734956,0.032909019322062805,0.05366543179043179,best
lightgcn,original,2021,11,0.02580608039208215,125.3,False,,,,,,,,,
lightgcn,original,2021,12,0.022669919145050267,136.3,False,,,,,,,,,
lightgcn,original,2021,13,0.019954253205397524,147.3,False,,,,,,,,,
lightgcn,original,2021,14,0.017913917767159237,158.2,False,,,,,,,,,
lightgcn,original,2021,15,0.01643465941391568,169.1,True,0.007674080719237857,0.013670979883572397,0.04891304347826087,0.07971014492753623,0.02026017446886766,0.025304618188109806,0.03537673578434448,0.05327554932460539,khong cai thien (1/20)
lightgcn,original,2021,16,0.01490644275234207,181.9,False,,,,,,,,,
lightgcn,original,2021,17,0.014054490342894431,192.9,False,,,,,,,,,
lightgcn,original,2021,18,0.012809956173041752,203.8,False,,,,,,,,,
lightgcn,original,2021,19,0.011871145992036352,214.7,False,,,,,,,,,
lightgcn,original,2021,20,0.01129553337868579,225.7,True,0.008190886663481322,0.01446569091104112,0.05253623188405797,0.07971014492753623,0.022419721970280238,0.027362098790679964,0.038302277432712216,0.055825105349561865,best
lightgcn,original,2021,21,0.010702062068935127,238.5,False,,,,,,,,,
lightgcn,original,2021,22,0.00999750064700991,249.5,False,,,,,,,,,
lightgcn,original,2021,23,0.009593140774445362,260.4,False,,,,,,,,,
lightgcn,original,2021,24,0.009056229116959854,271.4,False,,,,,,,,,
lightgcn,original,2021,25,0.008700901231099492,282.4,True,0.008639435218862441,0.015172642438543972,0.05253623188405797,0.07608695652173914,0.02223656932488894,0.026905172898295474,0.038528726708074536,0.05536145617667357,khong cai thien (1/20)
lightgcn,original,2021,26,0.008344877251815371,295.2,False,,,,,,,,,
lightgcn,original,2021,27,0.008212312097232936,306.2,False,,,,,,,,,
lightgcn,original,2021,28,0.007718743128363218,317.1,False,,,,,,,,,
lightgcn,original,2021,29,0.007523662762429615,328.1,False,,,,,,,,,
